267,18,pollo,6605,carne,comestible,,,,,2021-10-15,fresco,17,
357,17,mouse,14549,producto tecnologico,no_comestible,42,26,50,0.66,,,,
357,91,mouse,14549,producto tecnologico,no_comestible,42,26,50,0.66,,,,
295,74,manzana,11013,frutas,comestible,,,,,2022-01-18,fresco,17,
158,53,hamburguesa de pollo,10287,hamburguesa,comestible,,,,3.71,2021-05-07,congelado,,
379,84,hamburguesa de vacuno,11754,hamburguesa,comestible,,,,1.87,2021-07-16,congelado,,
382,78,kiwi,10967,frutas,comestible,,,,,2021-12-07,fresco,10,
367,16,teclado,7331,producto tecnologico,no_comestible,18,32,32,0.5,,,,
327,34,hallulla,6887,pan,comestible,,,,,2021-12-06,fresco,20,
83,34, frutillas en conserva,12139,['descripcion'],comestible,,,,,2021-05-23,conserva,,caja
412,7,marraqueta,14464,pan,comestible,,,,,2021-11-17,fresco,24,
384,30,pantalla lineas,13539,pantalla de luz,no_comestible,48,22,14,0.65,,,,
394,5,limon,5808,verduras,comestible,,,,,2021-09-15,fresco,11,
150,26,salmon,6044,pescado congelado,comestible,,,,3.53,2022-04-17,congelado,,
331,9,lenguado,6376,pescado congelado,comestible,,,,1.21,2021-08-01,congelado,,
191,38,marraqueta,6589,pan,comestible,,,,,2022-05-02,fresco,17,
151,23,cerdo congelado,13962,carne congelada,comestible,,,,2.29,2021-10-26,congelado,,
284,58,marraqueta,14433,pan,comestible,,,,,2022-02-20,fresco,14,
13,47,esparragos frasco,14537,['descripcion'],comestible,,,,,2021-07-12,conserva,,caja
257,21,pantalon,12445,ropa,no_comestible,50,39,15,0.46,,,,
41,29,hamburguesa de verduras,13789,hamburguesa,comestible,,,,3.86,2021-06-04,congelado,,
40,37,pantalla lisa,11843,pantalla de luz,no_comestible,9,18,25,0.43,,,,
267,40,pollo,6605,carne,comestible,,,,,2021-10-15,fresco,17,
257,80,pantalon,12445,ropa,no_comestible,50,39,15,0.46,,,,
75,14,lechuga,7914,verduras,comestible,,,,,2022-02-27,fresco,12,
32,77,pantalla para colgar,6200,pantalla de luz,no_comestible,32,47,45,0.19,,,,
104,64,chaqueta,9435,ropa,no_comestible,46,17,38,0.37,,,,
313,41,platano,12727,frutas,comestible,,,,,2021-11-23,fresco,18,
171,54,mix de frutas en conserva,8658,['descripcion'],comestible,,,,,2022-02-04,conserva,,caja
399,71,mouse,14474,producto tecnologico,no_comestible,10,42,36,0.36,,,,
401,90,arvejas congeladas,14782,verduras congeladas,comestible,,,,2.48,2022-01-09,congelado,,
367,3,teclado,7331,producto tecnologico,no_comestible,18,32,32,0.5,,,,
400,30,mix de verduras congeladas,13648,verduras congeladas,comestible,,,,4.55,2022-04-09,congelado,,
368,19,limon,12932,verduras,comestible,,,,,2021-11-29,fresco,6,
167,5,hamburguesa de vacuno,9224,hamburguesa,comestible,,,,2.74,2021-09-26,congelado,,
389,4,manzana,7436,frutas,comestible,,,,,2022-02-13,fresco,16,
341,74,pollo congelado,10534,carne congelada,comestible,,,,4.13,2021-12-09,congelado,,
352,100,mix de frutas en conserva,14348,['descripcion'],comestible,,,,,2021-09-26,conserva,,frasco
401,46,arvejas congeladas,14782,verduras congeladas,comestible,,,,2.48,2022-01-09,congelado,,
30,2,vacuno,8973,carne,comestible,,,,,2021-08-12,fresco,22,
40,95,pantalla lisa,11843,pantalla de luz,no_comestible,9,18,25,0.43,,,,
356,89,kiwi,14585,frutas,comestible,,,,,2021-06-07,fresco,23,
128,45,pavo,9003,carne,comestible,,,,,2021-10-02,fresco,21,
378,72,televisor,10657,producto tecnologico,no_comestible,5,26,45,0.13,,,,
57,72,cerdo,7160,carne,comestible,,,,,2022-03-25,fresco,15,
110,16,pantalla papel,9914,pantalla de luz,no_comestible,20,38,48,0.25,,,,
63,5,arvejas congeladas,14607,verduras congeladas,comestible,,,,3.93,2021-11-05,congelado,,
9,53,hamburguesa de verduras,11678,hamburguesa,comestible,,,,3.01,2021-07-02,congelado,,
163,39,carne molida,7134,carne congelada,comestible,,,,3.66,2021-09-26,congelado,,
369,84,tomate,13568,verduras,comestible,,,,,2022-02-12,fresco,12,
61,51,vacuno,5898,carne,comestible,,,,,2021-11-25,fresco,7,
39,22,merlusa,10053,pescado congelado,comestible,,,,4.86,2021-10-05,congelado,,
