id,nombre,precio,descripción,largo(cm),alto(cm),ancho(cm),peso(kg),fecha_de_caducidad,duracion_sin_refrigerar,tipo_de_conserva,tienda
267,pollo,6605,carne,,,,,2021-10-15,17,,18
357,mouse,14549,producto tecnologico,26,50,42,0.66,,,,17
357,mouse,14549,producto tecnologico,26,50,42,0.66,,,,91
295,manzana,11013,frutas,,,,,2022-01-18,17,,74
158,hamburguesa de pollo,10287,hamburguesa,,,,3.71,2021-05-07,,,53
379,hamburguesa de vacuno,11754,hamburguesa,,,,1.87,2021-07-16,,,84
382,kiwi,10967,frutas,,,,,2021-12-07,10,,78
367,teclado,7331,producto tecnologico,32,32,18,0.5,,,,16
327,hallulla,6887,pan,,,,,2021-12-06,20,,34
83, frutillas en conserva,12139,fruta en conserva,,,,,2021-05-23,,caja,34
412,marraqueta,14464,pan,,,,,2021-11-17,24,,7
384,pantalla lineas,13539,pantalla de luz,22,14,48,0.65,,,,30
394,limon,5808,verduras,,,,,2021-09-15,11,,5
150,salmon,6044,pescado congelado,,,,3.53,2022-04-17,,,26
331,lenguado,6376,pescado congelado,,,,1.21,2021-08-01,,,9
191,marraqueta,6589,pan,,,,,2022-05-02,17,,38
151,cerdo congelado,13962,carne congelada,,,,2.29,2021-10-26,,,23
284,marraqueta,14433,pan,,,,,2022-02-20,14,,58
13,esparragos frasco,14537,verdura en conserva,,,,,2021-07-12,,caja,47
257,pantalon,12445,ropa,39,15,50,0.46,,,,21
41,hamburguesa de verduras,13789,hamburguesa,,,,3.86,2021-06-04,,,29
40,pantalla lisa,11843,pantalla de luz,18,25,9,0.43,,,,37
267,pollo,6605,carne,,,,,2021-10-15,17,,40
257,pantalon,12445,ropa,39,15,50,0.46,,,,80
75,lechuga,7914,verduras,,,,,2022-02-27,12,,14
32,pantalla para colgar,6200,pantalla de luz,47,45,32,0.19,,,,77
104,chaqueta,9435,ropa,17,38,46,0.37,,,,64
313,platano,12727,frutas,,,,,2021-11-23,18,,41
171,mix de frutas en conserva,8658,fruta en conserva,,,,,2022-02-04,,caja,54
399,mouse,14474,producto tecnologico,42,36,10,0.36,,,,71
401,arvejas congeladas,14782,verduras congeladas,,,,2.48,2022-01-09,,,90
367,teclado,7331,producto tecnologico,32,32,18,0.5,,,,3
400,mix de verduras congeladas,13648,verduras congeladas,,,,4.55,2022-04-09,,,30
368,limon,12932,verduras,,,,,2021-11-29,6,,19
167,hamburguesa de vacuno,9224,hamburguesa,,,,2.74,2021-09-26,,,5
389,manzana,7436,frutas,,,,,2022-02-13,16,,4
341,pollo congelado,10534,carne congelada,,,,4.13,2021-12-09,,,74
352,mix de frutas en conserva,14348,fruta en conserva,,,,,2021-09-26,,frasco,100
401,arvejas congeladas,14782,verduras congeladas,,,,2.48,2022-01-09,,,46
30,vacuno,8973,carne,,,,,2021-08-12,22,,2
40,pantalla lisa,11843,pantalla de luz,18,25,9,0.43,,,,95
356,kiwi,14585,frutas,,,,,2021-06-07,23,,89
128,pavo,9003,carne,,,,,2021-10-02,21,,45
378,televisor,10657,producto tecnologico,26,45,5,0.13,,,,72
57,cerdo,7160,carne,,,,,2022-03-25,15,,72
110,pantalla papel,9914,pantalla de luz,38,48,20,0.25,,,,16
63,arvejas congeladas,14607,verduras congeladas,,,,3.93,2021-11-05,,,5
9,hamburguesa de verduras,11678,hamburguesa,,,,3.01,2021-07-02,,,53
163,carne molida,7134,carne congelada,,,,3.66,2021-09-26,,,39
369,tomate,13568,verduras,,,,,2022-02-12,12,,84
61,vacuno,5898,carne,,,,,2021-11-25,7,,51
39,merlusa,10053,pescado congelado,,,,4.86,2021-10-05,,,22
389,manzana,7436,frutas,,,,,2022-02-13,16,,99
381,pantalla para colgar,8882,pantalla de luz,41,9,42,0.37,,,,46
220,manzana,11649,frutas,,,,,2021-06-03,7,,63
367,teclado,7331,producto tecnologico,32,32,18,0.5,,,,43
256,porotos congelados,14619,verduras congeladas,,,,1.09,2021-08-23,,,75
92,garbanzos en conserva,11554,verdura en conserva,,,,,2022-04-17,,caja,11
302,teclado,8227,producto tecnologico,26,40,48,0.62,,,,23
357,mouse,14549,producto tecnologico,26,50,42,0.66,,,,8
275,pantalla lisa,13875,pantalla de luz,34,42,25,0.77,,,,24
116,cerdo congelado,11027,carne congelada,,,,2.27,2021-08-10,,,77
367,teclado,7331,producto tecnologico,32,32,18,0.5,,,,85
376,arvejas en conserva,14460,verdura en conserva,,,,,2022-02-21,,caja,54
37,cerdo,13208,carne,,,,,2022-03-12,8,,65
370,pera,14775,frutas,,,,,2021-07-24,21,,67
122,porotos congelados,11540,verduras congeladas,,,,3.16,2021-12-27,,,80
219,papaya en conserva,13561,fruta en conserva,,,,,2022-01-15,,caja,73
63,arvejas congeladas,14607,verduras congeladas,,,,3.93,2021-11-05,,,11
28,cerdo,12064,carne,,,,,2021-05-11,6,,75
135,arvejas congeladas,9491,verduras congeladas,,,,2.42,2022-02-27,,,4
182,manzana,14158,frutas,,,,,2021-07-27,23,,78
332,pantalla lisa,7833,pantalla de luz,6,6,7,0.64,,,,4
87,teclado,12613,producto tecnologico,9,15,25,0.33,,,,48
